2014-12-26 20:41:19 INFO  ResourceX:58 - ============================[ VOBaseMasterPage.vb -> Global.resx ]===============================
2014-12-26 20:41:20 INFO  ResourceX:102 -  (1) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuReports] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (2) Resource Added: FileName = [Global.es.resx] value = [default_labelAddInvoice] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (3) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuInbox] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (4) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuSettings] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (5) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuEspenses] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (6) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuProducts] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (7) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuNewUsers] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (8) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuDuplicates] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (9) Resource Added: FileName = [Global.es.resx] value = [default_labelImportContactFile] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (10) Resource Added: FileName = [Global.es.resx] value = [global_mainMenuMoney] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (11) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuCatalogs] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (12) Resource Added: FileName = [Global.es.resx] value = [global_mainMenuInventory] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (13) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuBilling] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (14) Resource Added: FileName = [Global.es.resx] value = [default_labelAddExpense] defaultLanguageValue = []
