2014-12-23 11:09:08 INFO  ResourceX:101 -  (1) Resource Exist: FileName = [Global.resx] value = [default_labelUpcomingEvents] defaultLanguageValue = [Upcoming Events are a stream of upcoming activity. Your upcoming appointments, bookings, customer birthdays and anniversaries, and followups will display here to keep you up-to-date on whats to come.]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (1) Resource Exist: FileName = [Global.resx] value = [default_labelUpcomingEvents] defaultLanguageValue = [Upcoming Events are a stream of upcoming activity. Your upcoming appointments, bookings, customer birthdays and anniversaries, and followups will display here to keep you up-to-date on whats to come.]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (2) Resource Exist: FileName = [Global.resx] value = [default_labelTrendsToolTip] defaultLanguageValue = [Trends give you an overview of the pulse of your business. See the progress of your sales and bookings. Find the products that your sell most and see your up-to-date profit and loss.]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (2) Resource Exist: FileName = [Global.resx] value = [default_labelTrendsToolTip] defaultLanguageValue = [Trends give you an overview of the pulse of your business. See the progress of your sales and bookings. Find the products that your sell most and see your up-to-date profit and loss.]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (3) Resource Exist: FileName = [Global.resx] value = [default_labelBeautiNet] defaultLanguageValue = [Beautinet]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (3) Resource Exist: FileName = [Global.resx] value = [default_labelBeautiNet] defaultLanguageValue = [Beautinet]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (4) Resource Exist: FileName = [Global.resx] value = [default_labelMaryKay] defaultLanguageValue = [Mary Kay]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (4) Resource Exist: FileName = [Global.resx] value = [default_labelMaryKay] defaultLanguageValue = [Mary Kay]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (5) Resource Exist: FileName = [Global.resx] value = [default_labelImportance] defaultLanguageValue = [Importance:]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (5) Resource Exist: FileName = [Global.resx] value = [default_labelImportance] defaultLanguageValue = [Importance:]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (6) Resource Exist: FileName = [Global.resx] value = [default_labelNewVehicle] defaultLanguageValue = [New Vehicle]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (6) Resource Exist: FileName = [Global.resx] value = [default_labelNewVehicle] defaultLanguageValue = [New Vehicle]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (7) Resource Exist: FileName = [Global.resx] value = [default_headerMyAscendLive] defaultLanguageValue = [My Ascend Live]
2014-12-23 11:09:08 INFO  ResourceX:102 -  (7) Resource Exist: FileName = [Global.resx] value = [default_headerMyAscendLive] defaultLanguageValue = [My Ascend Live]
2014-12-23 11:09:08 INFO  ResourceX:101 -  (8) Resource Exist: FileName = [Global.resx] value = [default_helpHighPriorityTaskToolTip] defaultLanguageValue = [My Tasks are your high priority tasks (listed first) followed by upcoming tasks that have a due date assigned.]
